Date,Country,City,Specie,count,min (ppb),max (ppb),median (ppb)
2017-01-01,US,Los Angeles,o3,24,2.0,31.0,10.0
2017-01-01,CN,Shanghai,o3,188,1.0,39.0,11.0
2017-01-01,US,Manhattan,o3,24,3.0,28.0,16.0
2017-01-01,US,Jacksonville,o3,46,2.0,18.0,12.0
2017-01-01,CN,Beijing,o3,235,1.0,8.0,2.0
2017-01-01,US,Houston,o3,119,1.0,30.0,11.0
2017-01-02,US,Manhattan,o3,23,8.0,19.0,11.0
2017-01-02,CN,Beijing,o3,385,1.0,30.0,7.0
2017-01-02,US,Los Angeles,o3,24,1.0,34.0,12.0
2017-01-02,CN,Shanghai,o3,207,1.0,41.0,9.0
2017-01-02,US,Jacksonville,o3,48,4.0,15.0,11.0
2017-01-02,CN,Wuhan,o3,271,0.0,56.0,14.0
2017-01-02,US,Houston,o3,113,1.0,35.0,16.0
2017-01-03,US,Houston,o3,89,1.0,36.0,16.0
2017-01-03,CN,Wuhan,o3,387,0.0,50.0,8.0
2017-01-03,US,Los Angeles,o3,16,1.0,18.0,1.0
2017-01-03,CN,Shanghai,o3,201,3.0,46.0,27.0
2017-01-03,US,Manhattan,o3,23,9.0,23.0,19.0
2017-01-03,US,Jacksonville,o3,45,2.0,11.0,6.0
2017-01-03,CN,Beijing,o3,329,1.0,24.0,3.0
2017-01-04,CN,Wuhan,o3,289,0.0,22.0,2.0
2017-01-04,US,Manhattan,o3,24,2.0,24.0,19.0
2017-01-04,US,Houston,o3,112,1.0,15.0,7.0
2017-01-04,US,Los Angeles,o3,14,1.0,11.0,2.0
2017-01-04,US,Jacksonville,o3,47,1.0,15.0,9.0
2017-01-04,CN,Beijing,o3,324,1.0,15.0,3.0
2017-01-04,CN,Shanghai,o3,209,1.0,39.0,20.0
2017-01-05,CN,Shanghai,o3,212,19.0,44.0,32.0
2017-01-05,US,Jacksonville,o3,46,1.0,17.0,7.0
2017-01-05,US,Houston,o3,92,1.0,14.0,3.0
2017-01-05,CN,Beijing,o3,239,1.0,17.0,2.0
2017-01-05,US,Manhattan,o3,24,10.0,22.0,16.0
2017-01-05,CN,Wuhan,o3,379,0.0,69.0,4.0
2017-01-05,US,Los Angeles,o3,24,1.0,23.0,11.0
2017-01-06,US,Manhattan,o3,24,10.0,23.0,19.0
2017-01-06,CN,Shanghai,o3,208,4.0,31.0,18.0
2017-01-06,CN,Wuhan,o3,395,0.0,35.0,10.0
2017-01-06,US,Jacksonville,o3,46,0.0,17.0,8.0
2017-01-06,US,Los Angeles,o3,19,1.0,23.0,8.0
2017-01-06,CN,Beijing,o3,248,1.0,127.0,2.0
2017-01-06,US,Houston,o3,118,5.0,28.0,11.0
2017-01-07,CN,Beijing,o3,278,1.0,12.0,2.0
2017-01-07,US,Manhattan,o3,24,17.0,22.0,19.0
2017-01-07,CN,Shanghai,o3,174,1.0,36.0,20.0
2017-01-07,US,Houston,o3,115,1.0,32.0,24.0
2017-01-07,US,Los Angeles,o3,23,1.0,18.0,10.0
2017-01-07,CN,Wuhan,o3,391,0.0,23.0,6.0
2017-01-08,US,Los Angeles,o3,22,1.0,32.0,4.0
2017-01-08,CN,Beijing,o3,390,1.0,34.0,17.0
2017-01-08,US,Houston,o3,115,1.0,38.0,20.0
2017-01-08,CN,Wuhan,o3,391,1.0,43.0,18.0
2017-01-08,CN,Shanghai,o3,192,1.0,9.0,4.0
2017-01-08,US,Manhattan,o3,24,20.0,25.0,23.0
2017-01-08,US,Jacksonville,o3,39,8.0,17.0,11.0
2017-01-09,CN,Wuhan,o3,400,0.0,55.0,19.0
2017-01-09,US,Manhattan,o3,24,9.0,21.0,14.0
2017-01-09,US,Los Angeles,o3,24,1.0,25.0,15.0
2017-01-09,US,Jacksonville,o3,39,4.0,17.0,11.0
2017-01-09,CN,Shanghai,o3,216,1.0,36.0,25.0
2017-01-09,US,Houston,o3,117,1.0,36.0,21.0
2017-01-09,CN,Beijing,o3,395,1.0,107.0,18.0
2017-01-10,CN,Beijing,o3,401,1.0,34.0,19.0
2017-01-10,US,Houston,o3,104,2.0,34.0,27.0
2017-01-10,CN,Shanghai,o3,215,1.0,39.0,25.0
2017-01-10,US,Manhattan,o3,24,2.0,24.0,10.0
2017-01-10,CN,Wuhan,o3,374,1.0,49.0,24.0
2017-01-10,US,Los Angeles,o3,19,1.0,27.0,10.0
2017-01-10,US,Jacksonville,o3,43,2.0,18.0,8.0
2017-01-11,US,Jacksonville,o3,45,0.0,18.0,6.0
2017-01-11,US,Los Angeles,o3,23,7.0,31.0,22.0
2017-01-11,CN,Shanghai,o3,216,10.0,37.0,29.0
2017-01-11,US,Houston,o3,103,12.0,35.0,24.0
2017-01-11,US,Manhattan,o3,24,3.0,24.0,9.0
2017-01-11,CN,Wuhan,o3,387,0.0,33.0,10.0
2017-01-11,CN,Beijing,o3,333,0.0,32.0,4.0
2017-01-12,US,Houston,o3,119,3.0,39.0,24.0
2017-01-12,US,Jacksonville,o3,45,0.0,18.0,7.0
2017-01-12,US,Manhattan,o3,24,9.0,20.0,16.0
2017-01-12,CN,Beijing,o3,389,0.0,46.0,15.0
2017-01-12,CN,Wuhan,o3,374,0.0,42.0,16.0
2017-01-12,US,Los Angeles,o3,24,2.0,25.0,15.0
2017-01-12,CN,Shanghai,o3,204,1.0,34.0,8.0
2017-01-13,CN,Beijing,o3,419,2.0,48.0,27.0
2017-01-13,US,Jacksonville,o3,46,0.0,19.0,6.0
2017-01-13,US,Manhattan,o3,24,14.0,28.0,25.0
