Date,Country,City,Specie,count,min (ug/m3),max (ug/m3),median (ug/m3)
2017-01-01,IN,New Delhi,pm25,24,54.9,282.7,177.7
2017-01-01,CN,Shanghai,pm25,215,12.0,63.2,34.4
2017-01-01,US,Jacksonville,pm25,115,3.1,113.6,8.1
2017-01-01,US,Los Angeles,pm25,69,3.3,109.7,15.9
2017-01-01,US,Manhattan,pm25,96,4.3,23.0,12.1
2017-01-01,CN,Beijing,pm25,386,214.0,663.8920904977376,453.4
2017-01-01,US,Houston,pm25,95,4.8,92.2,14.9
2017-01-02,CN,Beijing,pm25,456,3.1,529.1259547511313,241.3
2017-01-02,US,Houston,pm25,93,0.2,14.9,6.7
2017-01-02,CN,Shanghai,pm25,216,26.8,125.2,63.2
2017-01-02,IN,New Delhi,pm25,24,54.9,309.0,173.7
2017-01-02,US,Jacksonville,pm25,111,1.2,14.9,5.0
2017-01-02,US,Manhattan,pm25,96,4.8,23.0,12.0
2017-01-02,US,Los Angeles,pm25,70,0.4,35.4,7.2
2017-01-02,CN,Wuhan,pm25,272,35.9,182.7,115.5
2017-01-03,IN,New Delhi,pm25,24,113.6,451.9,175.7
2017-01-03,CN,Shanghai,pm25,214,55.5,176.7,88.4
2017-01-03,CN,Wuhan,pm25,405,109.7,241.3,146.5
2017-01-03,US,Houston,pm25,84,0.2,12.1,6.0
2017-01-03,CN,Beijing,pm25,445,136.8,642.6929230769232,332.2
2017-01-03,US,Manhattan,pm25,96,0.2,19.7,5.7
2017-01-03,US,Jacksonville,pm25,104,0.4,20.1,4.0
2017-01-03,US,Los Angeles,pm25,72,5.5,30.1,14.9
2017-01-04,CN,Shanghai,pm25,212,17.8,76.8,52.9
2017-01-04,CN,Wuhan,pm25,403,88.4,276.7,172.7
2017-01-04,US,Jacksonville,pm25,99,2.1,12.0,5.0
2017-01-04,US,Los Angeles,pm25,69,2.4,34.9,16.8
2017-01-04,IN,New Delhi,pm25,21,48.0,307.0,196.9
2017-01-04,US,Manhattan,pm25,91,0.9,23.9,8.6
